Date,Year,Quarter,Month,Company,Industry,Region,Revenue,COGS,Operating Expenses,Gross Profit,Tax,Net Profit,Current Assets,Fixed Assets,Total Assets,Current Liabilities,Long-term Debt,Total Liabilities,Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow
29-03-2025,2025,Q1,March,Prime Pvt,Healthcare,South,352506,175124,41767,177382,27123,108492,298816,531794,830610,249051,71780,320831,509779,128244,-13565,-27954,86725
10-05-2024,2024,Q2,May,Nova Ltd,Healthcare,South,914144,452408,148290,461736,62689,250757,128205,648004,776209,128707,113019,241726,534483,248045,-15403,-23490,209152
09-05-2025,2025,Q2,May,Zenith Inc,Finance,East,852398,514029,149237,338369,37826,151306,204602,322701,527303,219963,111449,331412,195891,141844,-26882,-48818,66144
27-03-2025,2025,Q1,March,Prime Pvt,IT,North,359502,152636,53406,206866,30692,122768,174490,416612,591102,120239,269114,389353,201749,118813,-93172,-47181,-21540
09-07-2025,2025,Q3,July,Nova Ltd,IT,South,253593,110920,43916,142673,19751,79006,397659,426592,824251,125707,219910,345617,478634,72436,-43290,40808,69954
08-06-2025,2025,Q2,June,Vertex Ltd,Healthcare,East,158021,99352,22990,58669,7135,28544,422838,563007,985845,238561,78248,316809,669036,38457,-32371,-38218,-32132
28-10-2025,2025,Q4,October,Alpha Corp,Retail,South,272344,171037,37068,101307,12847,51392,241157,413093,654250,76222,179959,256181,398069,47669,-73062,-24571,-49964
09-12-2025,2025,Q4,December,Alpha Corp,IT,East,246676,119102,42267,127574,17061,68246,217348,648405,865753,80780,299855,380635,485118,48286,-49760,47711,46237
13-04-2025,2025,Q2,April,Prime Pvt,Finance,South,356754,144310,64842,212444,29520,118082,355053,545424,900477,173106,162780,335886,564591,129199,-86765,7939,50373
02-04-2025,2025,Q2,April,Alpha Corp,Healthcare,East,381039,177329,49730,203710,30796,123184,227571,750610,978181,162956,163736,326692,651489,111919,-42482,15809,85246
28-10-2024,2024,Q4,October,Zenith Inc,IT,South,782288,328607,87548,453681,73226,292907,155445,240636,396081,76515,196030,272545,123536,276937,-93905,-22675,160357
04-08-2025,2025,Q3,August,Nova Ltd,Retail,West,777779,458661,128160,319118,38191,152767,331688,466744,798432,216508,198642,415150,383282,162690,-10889,24033,175834
24-04-2025,2025,Q2,April,Zenith Inc,IT,East,662286,418501,67340,243785,35289,141156,327716,245576,573292,78861,83794,162655,410637,144760,-17173,76121,203708
18-01-2025,2025,Q1,January,Zenith Inc,IT,East,951896,459674,174650,492222,63514,254058,320432,788855,1109287,121390,216854,338244,771043,244938,-74510,-47405,123023
30-04-2024,2024,Q2,April,Nova Ltd,Healthcare,South,217518,131971,29465,85547,11216,44866,398872,529249,928121,145973,144209,290182,637939,43108,-87063,74845,30890
22-10-2024,2024,Q4,October,Alpha Corp,Healthcare,North,364753,251682,40009,113071,14612,58450,351765,541806,893571,169547,277968,447515,446056,71120,-38107,-23727,9286
24-10-2024,2024,Q4,October,Alpha Corp,Healthcare,North,183074,113395,27488,69679,8438,33753,121719,293173,414892,88372,153213,241585,173307,23148,-82834,14944,-44742
24-02-2025,2025,Q1,February,Alpha Corp,Retail,East,860819,587029,158568,273790,23044,92178,334922,351714,686636,86373,245940,332313,354323,88328,-39553,-33238,15537
15-03-2025,2025,Q1,March,Zenith Inc,Finance,East,114726,59724,21059,55002,6788,27155,392261,494711,886972,165462,117432,282894,604078,14444,-69471,-46209,-101236
03-12-2025,2025,Q4,December,Nova Ltd,Healthcare,East,340828,211575,61662,129253,13518,54073,422039,628185,1050224,90849,223666,314515,735709,61807,-78517,-35006,-51716
06-07-2025,2025,Q3,July,Zenith Inc,Finance,East,382560,264285,72937,118275,9067,36271,122113,514282,636395,152319,94303,246622,389773,17875,-65000,69273,22148
14-02-2025,2025,Q1,February,Zenith Inc,Finance,West,744140,401929,102140,342211,48014,192057,498051,571153,1069204,77568,292844,370412,698792,211098,-39293,-43309,128496
11-12-2025,2025,Q4,December,Vertex Ltd,IT,North,489123,280677,69259,208446,27837,111350,143588,843506,987094,124915,81121,206036,781058,129873,-59860,27326,97339
22-09-2024,2024,Q3,September,Alpha Corp,Finance,South,410253,252336,73698,157917,16843,67376,102941,345648,448589,151785,290659,442444,6145,76439,-25475,1637,52601
14-09-2024,2024,Q3,September,Prime Pvt,Finance,East,649528,347012,99463,302516,40610,162443,332336,354993,687329,82893,292388,375281,312048,162014,-55885,-14362,91767
26-08-2024,2024,Q3,August,Zenith Inc,Finance,West,412623,270013,46209,142610,19280,77121,167357,626748,794105,103761,128263,232024,562081,90369,-72728,14792,32433
15-06-2024,2024,Q2,June,Zenith Inc,Retail,South,182860,105022,19370,77838,11693,46775,208343,531495,739838,76119,156465,232584,507254,48780,-45082,54138,57836
21-01-2025,2025,Q1,January,Prime Pvt,Finance,West,725104,386516,119767,338588,43764,175057,171662,730395,902057,219869,59608,279477,622580,156780,-56354,-7179,93247
25-01-2024,2024,Q1,January,Nova Ltd,Healthcare,South,325267,140719,35734,184548,29762,119052,430569,775996,1206565,55436,176427,231863,974702,133272,-50930,-39836,42506
21-09-2024,2024,Q3,September,Nova Ltd,Healthcare,South,688990,325907,107218,363083,51173,204692,453888,418083,871971,118936,167180,286116,585855,205342,-72428,59249,192163
26-04-2024,2024,Q2,April,Nova Ltd,Finance,West,142957,85942,21999,57015,7003,28013,163068,691646,854714,149375,219388,368763,485951,37294,-86979,35696,-13989
28-12-2024,2024,Q4,December,Alpha Corp,Retail,West,588169,381977,86712,206192,23896,95584,131613,613423,745036,70122,113321,183443,561593,87057,-69193,-48828,-30964
11-01-2025,2025,Q1,January,Zenith Inc,Retail,East,260172,115479,47819,144693,19374,77500,140935,588272,729207,210480,281591,492071,237136,76447,-76700,29310,29057
20-08-2024,2024,Q3,August,Zenith Inc,Healthcare,East,970679,444926,104976,525753,84155,336622,164605,642143,806748,229252,225787,455039,351709,324686,-49153,-32764,242769
11-06-2025,2025,Q2,June,Zenith Inc,Finance,South,972105,497661,98228,474444,75243,300973,440121,594378,1034499,130323,276941,407264,627235,309663,-64586,-33012,212065
20-07-2024,2024,Q3,July,Vertex Ltd,IT,East,812125,420946,97465,391179,58742,234972,134005,732905,866910,210570,54072,264642,602268,252884,-37967,40576,255493
07-05-2025,2025,Q2,May,Prime Pvt,Finance,North,796398,531077,136154,265321,25833,103334,349550,688857,1038407,174555,197091,371646,666761,104662,-92478,40973,53157
19-06-2024,2024,Q2,June,Zenith Inc,Retail,South,949065,559475,112969,389590,55324,221297,148761,320563,469324,176063,266515,442578,26746,231700,-25642,76679,282737
09-03-2024,2024,Q1,March,Zenith Inc,Finance,East,310885,180108,33985,130777,19358,77434,115881,453004,568885,242674,213515,456189,112696,91959,-52038,23642,63563
08-06-2024,2024,Q2,June,Alpha Corp,Retail,South,915942,439050,101816,476892,75015,300061,166029,621879,787908,167389,223411,390800,397108,306331,-93622,-32505,180204
03-01-2025,2025,Q1,January,Zenith Inc,Finance,West,204955,141162,28755,63793,7007,28031,188919,588250,777169,61705,121904,183609,593560,45235,-48022,-32299,-35086
02-04-2024,2024,Q2,April,Vertex Ltd,Retail,South,449684,294057,51825,155627,20760,83042,478484,874495,1352979,188377,239912,428289,924690,81417,-64333,76077,93161
25-06-2025,2025,Q2,June,Vertex Ltd,Finance,West,742568,319821,137653,422747,57018,228076,277995,612371,890366,231073,294425,525498,364868,232466,-48203,64143,248406
25-05-2024,2024,Q2,May,Alpha Corp,Retail,East,970776,582055,126016,388721,52541,210164,262074,771620,1033694,175305,120371,295676,738018,214113,-77386,40880,177607
20-10-2025,2025,Q4,October,Zenith Inc,Finance,West,264943,118697,36368,146246,21975,87903,292101,582602,874703,141153,208633,349786,524917,84201,-64192,-13591,6418
26-06-2024,2024,Q2,June,Zenith Inc,Healthcare,North,472530,309297,51098,163233,22427,89708,487206,425626,912832,130510,147686,278196,634636,101514,-96357,15565,20722
29-02-2024,2024,Q1,February,Alpha Corp,Finance,North,888794,560767,130044,328027,39596,158387,125639,409371,535010,55135,117730,172865,362145,170842,-67461,43133,146514
20-04-2024,2024,Q2,April,Vertex Ltd,Retail,North,794030,482903,141715,311127,33882,135530,430729,741183,1171912,114416,92420,206836,965076,125241,-46960,-6802,71479
24-03-2024,2024,Q1,March,Zenith Inc,IT,North,151104,68480,16771,82624,13170,52683,198309,581168,779477,100215,252258,352473,427004,56084,-45202,-46638,-35756
05-07-2024,2024,Q3,July,Nova Ltd,Finance,North,901953,629670,99382,272283,34580,138321,254941,291993,546934,94196,297951,392147,154787,154246,-88080,-12548,53618
07-07-2025,2025,Q3,July,Prime Pvt,Finance,South,150071,92000,22573,58071,7099,28399,165793,542237,708030,119427,239748,359175,348855,34732,-59392,-757,-25417
20-02-2024,2024,Q1,February,Alpha Corp,Finance,West,800924,542241,87376,258683,34261,137046,187672,220970,408642,240090,217363,457453,-48811,121405,-32551,72296,161150
14-11-2024,2024,Q4,November,Zenith Inc,Healthcare,East,610060,245072,104861,364988,52025,208102,104686,366562,471248,147120,268726,415846,55402,214239,-79638,16243,150844
01-07-2024,2024,Q3,July,Prime Pvt,Finance,East,651982,382049,77257,269933,38535,154141,393230,512796,906026,137726,162063,299789,606237,164828,-94817,77300,147311
19-07-2025,2025,Q3,July,Prime Pvt,IT,North,427834,177339,82677,250495,33563,134255,165353,463769,629122,57476,267132,324608,304514,123430,-96154,-47740,-20464
27-03-2025,2025,Q1,March,Nova Ltd,Finance,East,794400,320885,94304,473515,75842,303369,421421,850856,1272277,173106,129968,303074,969203,296810,-20869,-28642,247299
19-06-2024,2024,Q2,June,Zenith Inc,Retail,South,776010,409254,127498,366756,47851,191407,150506,239311,389817,93484,74423,167907,221910,176811,-17686,41643,200768
22-04-2024,2024,Q2,April,Zenith Inc,Retail,East,340986,226815,34224,114171,15989,63958,185272,676353,861625,68082,112061,180143,681482,66696,-20340,61197,107553
20-10-2024,2024,Q4,October,Alpha Corp,Healthcare,East,295707,149989,46245,145718,19894,79579,253702,553094,806796,77934,199327,277261,529535,64324,-17765,-47046,-487
03-04-2024,2024,Q2,April,Vertex Ltd,Retail,North,461600,275237,84196,186363,20433,81734,395903,660597,1056500,59582,247191,306773,749727,66099,-44309,-33755,-11965
22-05-2024,2024,Q2,May,Zenith Inc,IT,West,497653,237423,51610,260230,41724,166896,390030,680041,1070071,153378,259202,412580,657491,153213,-17892,-32387,102934
12-09-2025,2025,Q3,September,Nova Ltd,Finance,East,791741,415276,145926,376465,46107,184432,116721,876126,992847,69948,257621,327569,665278,167164,-88103,29590,108651
15-01-2024,2024,Q1,January,Vertex Ltd,Finance,South,509573,244548,65596,265025,39885,159544,307251,518913,826164,74022,68162,142184,683980,144886,-39960,-42517,62409
04-10-2024,2024,Q4,October,Prime Pvt,Retail,East,513245,257783,99188,255462,31254,125020,308467,628881,937348,147006,223017,370023,567325,128826,-67449,-33155,28222
15-12-2024,2024,Q4,December,Prime Pvt,Retail,East,636416,275707,126010,360709,46939,187760,153185,242271,395456,143732,246165,389897,5559,206646,-53551,49571,202666
04-06-2024,2024,Q2,June,Alpha Corp,Retail,South,977714,456712,122454,521002,79709,318839,127073,400521,527594,171060,195064,366124,161470,335215,-32532,8215,310898
17-05-2025,2025,Q2,May,Prime Pvt,Healthcare,West,730450,359431,91147,371019,55974,223898,143593,367547,511140,66002,284723,350725,160415,205036,-78204,52263,179095
06-03-2024,2024,Q1,March,Prime Pvt,IT,North,448950,182602,46246,266348,44020,176082,237576,608760,846336,222360,164473,386833,459503,190686,-38258,26010,178438
17-03-2024,2024,Q1,March,Prime Pvt,Retail,East,798936,367547,137488,431389,58780,235121,149886,783025,932911,89208,151290,240498,692413,229336,-35153,4686,198869
25-09-2025,2025,Q3,September,Prime Pvt,Healthcare,North,624497,331661,119709,292836,34625,138502,103249,677782,781031,122120,246672,368792,412239,151206,-84067,5213,72352
02-01-2025,2025,Q1,January,Vertex Ltd,Healthcare,West,225870,114885,29961,110985,16204,64820,322048,858397,1180445,94143,152973,247116,933329,69487,-55007,34046,48526
20-02-2024,2024,Q1,February,Zenith Inc,Finance,East,389381,170207,40419,219174,35751,143004,476951,625904,1102855,114314,76731,191045,911810,158929,-65158,-40386,53385
04-01-2025,2025,Q1,January,Zenith Inc,Finance,West,657541,280875,88824,376666,57568,230274,174749,664572,839321,53276,201112,254388,584933,237349,-31585,-4834,200930
08-06-2025,2025,Q2,June,Prime Pvt,Retail,West,143280,58569,27373,84711,11467,45871,390138,330248,720386,96069,54963,151032,569354,64283,-48096,48441,64628
28-06-2024,2024,Q2,June,Vertex Ltd,Healthcare,North,773135,432563,82078,340572,51698,206796,364709,566725,931434,59881,102070,161951,769483,203641,-63698,75301,215244
06-05-2025,2025,Q2,May,Vertex Ltd,Finance,North,518072,265011,74660,253061,35680,142721,494188,639310,1133498,153870,87307,241177,892321,143993,-74071,1649,71571
21-07-2025,2025,Q3,July,Vertex Ltd,IT,South,460658,189823,78575,270835,38452,153808,408999,549758,958757,181318,222423,403741,555016,145251,-85429,1270,61092
01-03-2024,2024,Q1,March,Vertex Ltd,Finance,East,504882,228096,62625,276786,42832,171329,429438,743615,1173053,193542,136888,330430,842623,174663,-84019,-6676,83968
30-06-2025,2025,Q2,June,Prime Pvt,Finance,South,959793,534173,138097,425620,57504,230019,350529,753555,1104084,212195,216898,429093,674991,231235,-97114,48415,182536
21-02-2024,2024,Q1,February,Zenith Inc,Healthcare,East,230487,148086,41408,82401,8198,32795,367360,420236,787596,144076,147316,291392,496204,28657,-75068,66353,19942
19-06-2024,2024,Q2,June,Alpha Corp,IT,South,137189,55514,18561,81675,12622,50492,222261,418374,640635,100549,166416,266965,373670,53366,-95852,-11221,-53707
20-08-2025,2025,Q3,August,Alpha Corp,Healthcare,East,838263,478874,137763,359389,44325,177301,295839,654502,950341,200904,208873,409777,540564,170174,-22702,-35224,112248
22-10-2025,2025,Q4,October,Zenith Inc,Healthcare,North,354151,144440,67806,209711,28381,113524,489089,514853,1003942,239647,139423,379070,624872,121408,-43665,-7543,70200
12-08-2024,2024,Q3,August,Prime Pvt,Finance,North,482504,330845,68710,151659,16589,66360,475462,763782,1239244,138930,296675,435605,803639,67294,-50909,31370,47755
07-02-2025,2025,Q1,February,Vertex Ltd,Finance,West,374092,227136,37570,146956,21877,87509,283387,432377,715764,186218,66443,252661,463103,92587,-33866,-15166,43555
20-10-2025,2025,Q4,October,Vertex Ltd,IT,South,972755,474569,191492,498186,61338,245356,164797,819435,984232,226468,55146,281614,702618,251435,-23485,63718,291668
16-07-2025,2025,Q3,July,Zenith Inc,Retail,North,252999,127238,26967,125761,19758,79036,295112,210541,505653,203235,259379,462614,43039,63766,-74309,-30824,-41367
08-11-2024,2024,Q4,November,Zenith Inc,IT,West,778720,454367,92096,324353,46451,185806,284281,416554,700835,249295,157595,406890,293945,197099,-11230,70313,256182
24-01-2025,2025,Q1,January,Vertex Ltd,Healthcare,South,914364,527395,167207,386969,43952,175810,193371,472859,666230,210382,94236,304618,361612,160747,-61810,19163,118100
10-08-2025,2025,Q3,August,Alpha Corp,IT,South,676852,395156,78035,281696,40732,162929,145717,475116,620833,208851,253401,462252,158581,176967,-67149,69157,178975
22-12-2025,2025,Q4,December,Nova Ltd,Retail,West,380158,240917,57873,139241,16273,65095,309434,655293,964727,132887,152401,285288,679439,46435,-25260,27345,48520
29-08-2025,2025,Q3,August,Zenith Inc,Finance,North,154441,66144,24501,88297,12759,51037,468467,812357,1280824,86540,98521,185061,1095763,36435,-58184,-28375,-50124
24-09-2024,2024,Q3,September,Alpha Corp,Healthcare,South,259371,134804,51301,124567,14653,58613,197181,213915,411096,107353,63103,170456,240640,67722,-33758,6101,40065
18-10-2024,2024,Q4,October,Alpha Corp,IT,South,449863,277260,51060,172603,24308,97235,180732,657282,838014,137721,70773,208494,629520,104076,-65241,74627,113462
05-09-2025,2025,Q3,September,Zenith Inc,Retail,West,752248,526216,115081,226032,22190,88761,395386,668305,1063691,105051,87364,192415,871276,86462,-34389,37622,89695
18-11-2024,2024,Q4,November,Prime Pvt,Finance,East,543206,281479,57220,261727,40901,163606,463227,327317,790544,225818,144206,370024,420520,153775,-75004,-37189,41582
09-07-2024,2024,Q3,July,Nova Ltd,IT,North,892559,446636,157064,445923,57771,231088,310915,762822,1073737,244493,161157,405650,668087,214213,-65648,57361,205926
02-08-2024,2024,Q3,August,Vertex Ltd,IT,East,628103,316302,93374,311801,43685,174742,476345,362756,839101,59100,210928,270028,569073,165904,-23976,-33958,107970
29-05-2024,2024,Q2,May,Zenith Inc,Retail,North,605481,279993,76209,325488,49855,199424,407050,553696,960746,88219,181770,269989,690757,179485,-74498,69161,174148
17-01-2025,2025,Q1,January,Alpha Corp,Healthcare,North,231319,112351,26945,118968,18404,73619,260790,608207,868997,188045,173760,361805,507192,75418,-13057,9046,71407
11-09-2024,2024,Q3,September,Vertex Ltd,IT,West,842584,401482,96534,441102,68913,275655,445510,869759,1315269,53144,176337,229481,1085788,285454,-77819,-32565,175070
06-12-2025,2025,Q4,December,Zenith Inc,IT,West,565940,265060,88867,300880,42402,169611,365577,539066,904643,170023,261028,431051,473592,165743,-56352,-18559,90832
06-10-2024,2024,Q4,October,Nova Ltd,Retail,East,798570,321688,145418,476882,66292,265172,482831,767611,1250442,63259,299416,362675,887767,282853,-36100,-9328,237425
28-05-2025,2025,Q2,May,Zenith Inc,Healthcare,North,688319,316232,69550,372087,60507,242030,305339,865162,1170501,117822,195650,313472,857029,257617,-87401,48585,218801
27-12-2025,2025,Q4,December,Prime Pvt,Retail,South,787066,326420,91520,460646,73825,295301,298562,706457,1005019,194511,163324,357835,647184,290000,-64741,28066,253325
01-03-2025,2025,Q1,March,Nova Ltd,IT,South,662185,442282,115877,219903,20805,83221,248536,383200,631736,135368,129657,265025,366711,75366,-54347,6232,27251
31-03-2025,2025,Q1,March,Alpha Corp,IT,West,856981,482573,105250,374408,53831,215327,209814,453725,663539,240461,87845,328306,335233,210665,-84461,59749,185953
07-10-2024,2024,Q4,October,Alpha Corp,Finance,South,216498,90208,28037,126290,19650,78603,413878,524088,937966,64366,81190,145556,792410,63343,-21285,60850,102908
01-01-2025,2025,Q1,January,Nova Ltd,Finance,East,286809,135705,48328,151104,20555,82221,289553,347908,637461,58738,240255,298993,338468,102130,-54906,49510,96734
10-08-2025,2025,Q3,August,Alpha Corp,Healthcare,North,870551,388153,153781,482398,65723,262894,378638,499271,877909,223755,89815,313570,564339,266480,-65744,29271,230007
27-06-2025,2025,Q2,June,Alpha Corp,Finance,South,121556,57552,16473,64004,9506,38025,147924,319208,467132,182764,275851,458615,8517,33860,-73355,61335,21840
22-10-2024,2024,Q4,October,Vertex Ltd,IT,North,221895,93294,41516,128601,17417,69668,154629,561409,716038,168439,245970,414409,301629,57437,-58597,19159,17999
08-03-2025,2025,Q1,March,Vertex Ltd,IT,South,266828,115771,37997,151057,22612,90448,327518,217532,545050,129736,208401,338137,206913,84656,-54133,-25575,4948
29-11-2024,2024,Q4,November,Alpha Corp,IT,North,345992,190769,64170,155223,18210,72843,147644,260702,408346,53585,58537,112122,296224,68126,-37264,-6063,24799
22-07-2024,2024,Q3,July,Nova Ltd,IT,South,562919,373159,63859,189760,25180,100721,271737,784404,1056141,112418,91943,204361,851780,120347,-54489,30263,96121
30-06-2024,2024,Q2,June,Prime Pvt,Healthcare,West,636558,389104,104451,247454,28600,114403,284663,889309,1173972,211977,73053,285030,888942,95103,-90041,27004,32066
29-03-2025,2025,Q1,March,Alpha Corp,IT,North,256676,119713,37607,136963,19871,79485,261009,768402,1029411,149516,215071,364587,664824,77365,-95613,-31795,-50043
01-10-2024,2024,Q4,October,Nova Ltd,Healthcare,West,894866,451528,99063,443338,68855,275420,454937,423060,877997,198094,146227,344321,533676,258467,-89576,26641,195532
10-02-2024,2024,Q1,February,Prime Pvt,Retail,North,811447,522740,92939,288707,39153,156615,289863,277501,567364,94759,256132,350891,216473,156119,-94089,70069,132099
15-08-2025,2025,Q3,August,Alpha Corp,Retail,West,308087,153345,33825,154742,24183,96734,196336,670970,867306,62592,194287,256879,610427,98978,-24797,78276,152457
18-04-2025,2025,Q2,April,Vertex Ltd,Finance,East,253727,115160,41351,138567,19443,77773,170239,556139,726378,117220,156845,274065,452313,70368,-63298,65620,72690
13-05-2025,2025,Q2,May,Alpha Corp,IT,South,132990,53993,15026,78997,12794,51177,248252,473393,721645,164919,106272,271191,450454,48864,-67917,36785,17732
25-06-2024,2024,Q2,June,Prime Pvt,Retail,West,440450,290976,67222,149474,16450,65802,213647,452011,665658,73591,254597,328188,337470,84849,-58588,67352,93613
28-08-2025,2025,Q3,August,Alpha Corp,Healthcare,East,749575,315096,96085,434479,67678,270716,149001,688281,837282,90386,246039,336425,500857,279127,-79824,45819,245122
20-03-2024,2024,Q1,March,Zenith Inc,IT,East,585942,323365,106030,262577,31309,125238,199706,847478,1047184,241381,220766,462147,585037,107748,-71306,-16772,19670
13-05-2024,2024,Q2,May,Nova Ltd,Retail,East,267349,111744,40024,155605,23116,92465,230243,310658,540901,64344,213878,278222,262679,105147,-65695,57410,96862
10-11-2025,2025,Q4,November,Zenith Inc,Finance,East,368783,235616,58464,133167,14940,59763,264190,589067,853257,196308,127580,323888,529369,71266,-64847,-23558,-17139
01-11-2024,2024,Q4,November,Prime Pvt,Retail,North,117137,57883,17341,59254,8382,33531,237806,369093,606899,238820,56653,295473,311426,49017,-83420,38483,4080
31-07-2025,2025,Q3,July,Zenith Inc,Healthcare,West,887686,466996,172470,420690,49644,198576,298105,587957,886062,139869,263713,403582,482480,194714,-10065,49318,233967
06-07-2025,2025,Q3,July,Prime Pvt,Retail,North,277211,115597,49111,161614,22500,90003,134455,269130,403585,229105,204418,433523,-29938,94056,-23185,-29222,41649
22-02-2024,2024,Q1,February,Zenith Inc,Healthcare,North,861266,363096,135374,498170,72559,290237,167435,876614,1044049,235420,128715,364135,679914,277652,-25890,30417,282179
11-02-2025,2025,Q1,February,Alpha Corp,Finance,North,907085,465072,154134,442013,57575,230304,224341,851866,1076207,217669,192985,410654,665553,248559,-24895,49088,272752
19-09-2025,2025,Q3,September,Nova Ltd,Healthcare,West,388786,186261,44081,202525,31688,126756,196110,543019,739129,213607,99140,312747,426382,115495,-63880,72898,124513
16-11-2024,2024,Q4,November,Nova Ltd,Retail,West,638944,403226,90480,235718,29047,116191,315291,216119,531410,199351,202725,402076,129334,102303,-22536,-26140,53627
27-11-2025,2025,Q4,November,Nova Ltd,IT,North,102044,42205,12147,59839,9538,38154,216595,362945,579540,186339,87555,273894,305646,56571,-33621,60284,83234
11-06-2025,2025,Q2,June,Nova Ltd,Finance,South,282476,175905,39218,106571,13470,53883,495027,533610,1028637,85174,269681,354855,673782,61039,-85973,54643,29709
06-10-2025,2025,Q4,October,Alpha Corp,IT,West,151751,92255,27855,59496,6328,25313,383231,269834,653065,84884,142981,227865,425200,6290,-14016,18948,11222
06-12-2025,2025,Q4,December,Nova Ltd,Healthcare,South,683671,323533,88843,360138,54259,217036,362794,818775,1181569,195553,278141,473694,707875,232155,-40072,20353,212436
12-02-2024,2024,Q1,February,Nova Ltd,Finance,East,758049,319187,121086,438862,63555,254221,342459,700643,1043102,221316,254972,476288,566814,259197,-55330,56887,260754
11-03-2024,2024,Q1,March,Zenith Inc,Retail,West,888434,573220,108228,315214,41397,165589,463170,609496,1072666,85855,279448,365303,707363,182837,-76067,72723,179493
01-10-2025,2025,Q4,October,Alpha Corp,Finance,South,283807,122642,45828,161165,23067,92270,290961,266350,557311,149659,291633,441292,116019,87840,-67488,-13084,7268
22-08-2025,2025,Q3,August,Vertex Ltd,Finance,South,345459,172660,38466,172799,26866,107467,347641,223911,571552,93420,258120,351540,220012,94539,-74958,42691,62272
14-06-2025,2025,Q2,June,Prime Pvt,IT,West,737486,441391,107481,296095,37722,150892,447247,457592,904839,69386,119889,189275,715564,134358,-45559,-24645,64154
21-06-2024,2024,Q2,June,Prime Pvt,Healthcare,North,898964,464413,178573,434551,51195,204783,268213,711705,979918,55130,200354,255484,724434,212321,-46474,62810,228657
01-11-2024,2024,Q4,November,Alpha Corp,Finance,North,919629,395079,116990,524550,81512,326048,457922,404747,862669,237160,230944,468104,394565,315382,-55635,-41266,218481
18-12-2025,2025,Q4,December,Zenith Inc,Healthcare,West,172437,83307,29672,89130,11891,47567,494799,889800,1384599,192830,143526,336356,1048243,51651,-47216,59597,64032
11-07-2025,2025,Q3,July,Alpha Corp,Finance,East,792346,554593,106108,237753,26329,105316,249651,623812,873463,225557,229136,454693,418770,124783,-97659,36745,63869
30-10-2025,2025,Q4,October,Zenith Inc,Retail,North,720490,503410,91557,217080,25104,100419,294728,233276,528004,194726,218736,413462,114542,98412,-41666,52000,108746
07-03-2024,2024,Q1,March,Zenith Inc,IT,South,586770,348260,104418,238510,26818,107274,374646,651669,1026315,175007,207168,382175,644140,92375,-51844,41514,82045
23-08-2025,2025,Q3,August,Zenith Inc,Retail,South,894307,600953,177401,293354,23190,92763,126443,319200,445643,158637,249603,408240,37403,111807,-93344,13305,31768
09-11-2024,2024,Q4,November,Alpha Corp,IT,East,580588,384378,101224,196210,18997,75989,416209,531904,948113,106225,145661,251886,696227,75114,-99613,23502,-997
22-10-2025,2025,Q4,October,Vertex Ltd,Finance,North,704721,345383,135119,359338,44843,179376,458358,561980,1020338,225094,290449,515543,504795,180748,-48730,79341,211359
17-06-2025,2025,Q2,June,Vertex Ltd,Finance,West,571852,376317,111269,195535,16853,67413,220750,352845,573595,176432,76577,253009,320586,61281,-28023,770,34028
08-08-2025,2025,Q3,August,Alpha Corp,Finance,West,533420,309740,102254,223680,24285,97141,195259,485607,680866,85345,255185,340530,340336,111602,-84956,76729,103375
13-11-2025,2025,Q4,November,Zenith Inc,Healthcare,South,630447,351091,116754,279356,32520,130082,202999,573120,776119,141304,165457,306761,469358,137149,-70089,-9025,58035
04-03-2025,2025,Q1,March,Alpha Corp,Healthcare,South,915633,521079,157589,394554,47393,189572,215865,338178,554043,208911,53686,262597,291446,184471,-99583,956,85844
16-07-2025,2025,Q3,July,Vertex Ltd,Healthcare,East,979267,661835,117184,317432,40049,160199,273353,589256,862609,214821,299811,514632,347977,174600,-89263,-15255,70082
15-02-2024,2024,Q1,February,Prime Pvt,Retail,East,535626,374271,89736,161355,14323,57296,201125,594568,795693,232682,50568,283250,512443,72894,-49303,10093,33684
14-02-2024,2024,Q1,February,Alpha Corp,IT,East,947169,578239,116916,368930,50402,201612,244774,755948,1000722,95791,60293,156084,844638,186919,-87420,17253,116752
12-08-2025,2025,Q3,August,Vertex Ltd,Retail,East,912514,421674,114935,490840,75181,300724,431624,890269,1321893,135299,233500,368799,953094,296457,-69783,72138,298812
13-03-2025,2025,Q1,March,Zenith Inc,Healthcare,West,444959,268533,79830,176426,19319,77277,287488,419402,706890,210953,268933,479886,227004,85260,-53817,1881,33324
11-04-2025,2025,Q2,April,Zenith Inc,Finance,North,566984,380922,63662,186062,24480,97920,406406,648054,1054460,137791,152291,290082,764378,102856,-93850,20226,29232
11-07-2024,2024,Q3,July,Nova Ltd,Healthcare,South,930815,456110,135836,474705,67773,271096,385699,553459,939158,144062,247979,392041,547117,268289,-72308,53105,249086
04-07-2024,2024,Q3,July,Prime Pvt,Retail,South,572961,325518,61105,247443,37267,149071,272983,248583,521566,199263,210841,410104,111462,142648,-20834,-12560,109254
23-11-2025,2025,Q4,November,Alpha Corp,IT,East,560981,290187,59416,270794,42275,169103,495686,862555,1358241,205279,225026,430305,927936,166231,-73575,32823,125479
12-01-2024,2024,Q1,January,Nova Ltd,IT,South,464242,322739,74250,141503,13450,53803,498050,361940,859990,155851,228378,384229,475761,34933,-10531,-48712,-24310
